time,vehicle_id,scheme,vehicle_type,behavior_score,mobility_score,communication_score,history_score,anomaly_level,message_irregularity,mobility_deviation,trust,risk,decision,reverification,reverification_success,final_decision,authentication_cost_ms,reverification_cost_ms,trust_gain,risk_factor,detection_gain,delay_ms,crypto_cost_ms
0,0,Liu et al.,Legitimate,0.8079018687345155,0.6709568759679151,0.6878146092772364,0.8525472001654636,0.1398255524721122,0.0021205824538349806,0.029245618913374953,1.0,0.042797938459830535,Accept,0,,Accept,10.4876,10.4876,0.8702028877849481,1.1528599285017873,0.9336714796415804,10.4876,10.4876
0,1,Liu et al.,Malicious,0.14434528888206302,0.0013213814639235438,0.08549083360602074,0.1432529184395942,0.8473708796450985,0.8199376336071007,0.7163881931497771,0.33670775028052513,0.7617472390303628,Reject,0,,Reject,10.4876,10.4876,0.8702028877849481,1.1528599285017873,0.9336714796415804,10.4876,10.4876
0,2,Liu et al.,Suspicious,0.5775134240143451,0.4203403494864,0.49069861446111757,0.5864709924353311,0.5128957033898411,0.5732344598068843,0.5535624253251764,0.825301633051651,0.4535977388675627,Reverify,1,False,Reject,10.4876,10.4876,0.8702028877849481,1.1528599285017873,0.9336714796415804,20.9752,20.9752
0,3,Liu et al.,Legitimate,0.7124655209232766,0.7326490042653312,0.7103471323897219,0.7386264086795782,0.22434897571667778,0.09063732295070734,0.25710118195543813,1.0,0.14302187015570583,Accept,0,,Accept,10.4876,10.4876,0.8702028877849481,1.1528599285017873,0.9336714796415804,10.4876,10.4876
0,4,Liu et al.,Legitimate,0.806006041215047,0.8255639387352265,0.7620012283207036,0.796566995503201,0.11356078265637612,0.04501756339066579,0.208221523486586,1.0,0.09169996738340698,Accept,0,,Accept,10.4876,10.4876,0.8702028877849481,1.1528599285017873,0.9336714796415804,10.4876,10.4876
0,5,Liu et al.,Legitimate,0.7450280943492056,0.6579421218906943,0.7930751298096106,0.7269867551634721,0.2168434032631986,0.2199492062158029,0.26367762387459437,1.0,0.17511755833839898,Accept,0,,Accept,10.4876,10.4876,0.8702028877849481,1.1528599285017873,0.9336714796415804,10.4876,10.4876
0,6,Liu et al.,Legitimate,0.7605849442081607,0.6560147639234124,0.8546085393257637,0.7706837267018517,0.22288352111371865,0.22218377157800198,0.2458501049603623,1.0,0.17272934941302073,Accept,0,,Accept,10.4876,10.4876,0.8702028877849481,1.1528599285017873,0.9336714796415804,10.4876,10.4876
0,7,Liu et al.,Malicious,0.064057569046008,0.10053394665264588,0.26570862122533867,0.08273593322687671,0.7010451988251821,0.788840772272053,0.915788339698374,0.3834953961970617,0.7555447286496368,Reject,0,,Reject,10.4876,10.4876,0.8702028877849481,1.1528599285017873,0.9336714796415804,10.4876,10.4876
0,8,Liu et al.,Legitimate,0.8172997380381449,0.776669384945169,0.6737929822147458,0.8031985231644044,0.22827868216882405,0.032299449557964474,0.14939037149110346,1.0,0.10249212580447299,Accept,0,,Accept,10.4876,10.4876,0.8702028877849481,1.1528599285017873,0.9336714796415804,10.4876,10.4876
0,9,Liu et al.,Suspicious,0.620639073760164,0.5736978017365398,0.6038820882292034,0.5749824030557906,0.41254786499311646,0.3490365811059726,0.614792997468426,0.8469570589289466,0.38235509615964214,Accept,0,,Accept,10.4876,10.4876,0.8702028877849481,1.1528599285017873,0.9336714796415804,10.4876,10.4876
